source,gn,es,dialect_anotator_1,dialect_anotator_2,dialect_anotator_3,dialect_unified,correctness_annotator_1,correctness_annotator_2,correctness_annotator_3,correctness_unified
spl,"Avei, PÑS oguenohẽta opa mba'e ojehupytyva'ekue apopyrã proyecto “Rescate lingũístico del pueblo Lumnanas - Manjui” ryepýpe, ãva niko Ñe'ẽryru Manjui – Castellano, Ta'angamýi Manjui rehegua ha Diagnóstico Sociolingũístico ko ypykuéra rehegua ojejapova'ekue mbohapy hekohapekuéra.","Así también, la SPL presentará los resultados del proyecto “Rescate lingũístico del pueblo Lumnanas - Manjui”, consistente en un Diccionario Bilingũe Castellano - Manjui, un Documental Manjui, y el resultado de un Diagnóstico Sociolingũístico implementado en tres comunidades de dicho pueblo indígena.",jehe'a,jehe'a,jehe'a,jehe'a,A,A,B,A
anlp,Umi aty militar ndaikatúi oîvo Texas rérape.,Las unidades militares no pueden ser embajadoras de TX.,guarani,guarani,jehe'a,guarani,A,D,A,A
libro_gn,Ñeꞌẽ jeporu rapeꞌapo,Planificación del estatus,guarani,guarani,guarani,guarani,D,D,A,D
blogs,Peteîteîme,A cada uno,guarani,guarani,guarani,guarani,A,A,A,A
libro_td,ndererekói ñemoirũ jerure ehecha hağua,Tu no tienes solicitudes pendientes,guarani,guarani,guarani,guarani,A,D,A,A
seminario,Ko’ápe ojehechakuaa mba’éichapa oñemohenda:,En estas palabras se observa la composición:,guarani,guarani,guarani,guarani,D,D,A,D
abc,Opu'ã ñe'êjovake SOAT rehe,Se reaviva el debate sobre el SOAT,guarani,guarani,guarani,guarani,A,A,A,A
libro_gn,Ojeikeha,Acceso,guarani,guarani,guarani,guarani,A,A,A,A
abc,He'i Ministerio Público “oikytîse chugui derecho orekóva” ojekúaáva “doleiro” Brasil-pe.,Acusó al Ministerio Público de querer “cercenar los derechos” del considerado “doleiro” en Brasil.,guarani,jehe'a,jehe'a,jehe'a,A,D,A,A
spl,"Tembiapo joajúpe, Itapúa tavusúpe oñemba’apo kyre’ỹ jahechápa ndojepuru jojái mokõive ñane retã ñe’ẽ tee, guarani ha castellano, ha tove tojehecha mamo hendárupi ko’ã ñane ñe’ẽ.","A través de trabajos conjuntos, en el departamento de Itapúa se viene impulsando la iniciativa de promover el uso equitativo de los dos idiomas oficiales del país, el guaraní y castellano, y la visibilización de estos en los distintos ámbitos de interacción social.",guarani,jehe'a,guarani,guarani,B,C,A,D
spl,"Ko tembikuaareka hérava “Guaraní en el diseño gráfico”, ojapova’ekue temimbo’ekuéra pohapyhapegua Ingeniería en Marketing pegua, mbo’ehaovusu Facultad Politécnica, Universidad Nacional de Asunción pegua. Ko tembiapo jehechauka oiko kuehe, araapy 17 jasypakõ, koty Aula B01-pe, ko mbo’ehaovusúpe..","Se trata de un trabajo de investigación denominado “Guaraní en el diseño gráfico”, realizado por los estudiantes del tercer año de la carrera de Ingeniería en Marketing de la Facultad Politécnica de la Universidad Nacional de Asunción. La presentación del trabajo se realizó ayer martes 17 de diciembre en el Aula B01 de la facultad..",jehe'a,jehe'a,guarani,jehe'a,A,A,A,A
spl,"Ko 2020 arýpe, mba’asy guasuete covid-19 rupi, opaite mba’e oñembosako’íva ojejapo hag̃ua guarani arapokõindy “Rohayhu che ñe’ẽ” ryehpýpe, oikopaitéta tembipurupyahu Paraguái Ñe’ẽnguéra Sãmbyhyha mba’éva rupive, taha’e Zoom térã Facebook Live rupive.","Por la situación especial ocasionada por la pandemia del covid-19, en este 2020 el desarrollo de las actividades enmarcadas en la semana del guaraní “Rohayhu che ñe’ẽ” será en plataformas virtuales, a través de Zoom y Facebook Live de la Secretaría de Políticas Lingüísticas.",guarani,guarani,guarani,guarani,A,A,A,A
blogs,Ojehete pyso mbegue katu Pali ha he'i ichupe kuéra:,Pablo se desperezó lentamente y les dijo:,guarani,guarani,guarani,guarani,A,D,A,A
hackaton,amomorãitei aajeroky amáre,adoro bailar bajo la lluvia.,guarani,guarani,guarani,guarani,D,D,A,D
spl,Oñepyrũma guarani ñemomorã “Rohayhu che ñe'ẽ”.,Arranca una edición más de “Rohayhu che ñe'ẽ”.,guarani,guarani,guarani,guarani,A,A,A,A
seminario,Ñe’ẽjoaju rehegua ñe’ẽaty ha ñe’ẽysaja ñehesa’ỹijo  .,• Análisis léxico y morfológico de la oración  .,guarani,guarani,guarani,guarani,A,C,A,A
abc,"Senado, oñondivepaite umi oiméva presente, omonéîva suspensión 60 días sin goce de sueldo péva senador Óscar González Daher, oîva escándalo de tráfico de influencias.","El Senado, por unanimidad de los presentes, aprobó la suspensión por 60 días sin goce de sueldo del senador Óscar González Daher por el escándalo de tráfico de influencias.",jopara,jopara,jopara,jopara,A,A,A,A
abc,"Ojehayhu, ndaha'éi iñirûnguéra añónte, público rehehápe.","Fue muy querido él, no solo por sus colegas, sino por el público.",jehe'a,jehe'a,jehe'a,jehe'a,A,A,A,A
spl,"Ko kuatia oñemboherakuapýta ko arapoteĩ 28-pe, 18:00 aravo jave, Ateneo de Lengua y Cultura Guaraní rógape, opytáva (Julia Miranda Cueto no 1721 e/ Ytororo ha R.I. 3 Corrales, Fernando de la Mora távape).","El acto de firma de convenio será este viernes 28 a las 18:00 en el local del Ateneo de Lengua y Cultura Guaraní (Julia Miranda Cueto no 1721 e/ Ytororo y R.I. 3 Corrales, en la ciudad de Fernando de la Mora).",guarani,jehe'a,jehe'a,jehe'a,A,A,A,A
blogs,"Pytũ ndaje ha mba'eve nopararãi, nojekuaái mba'evete.","Dicen que estaba oscuro y no había ruido, nada se veía.",guarani,guarani,guarani,guarani,A,D,A,A
spl,Ohove hese hína guarani jeporumemerã tetã remimoĩmbyha rehe jeykeko.,Continúa asistencia técnica para implementación de guaraní en entes públicos.,guarani,guarani,guarani,guarani,A,A,A,A
hackaton,mba'ére ndere'úi ka'avo?,por qué no comes verdura.,guarani,guarani,guarani,guarani,A,A,A,A
abc,Okúi kilómetro 92 gotyo ojeikévo Paraguarí-Piribebuy.,El desprendimiento fue a la altura del kilómetro 92 del acceso Paraguarí-Piribebuy.,guarani,guarani,guarani,guarani,A,B,A,A
seminario,mbytepeguáva,intermediario,guarani,guarani,guarani,guarani,A,B,A,A
seminario,tembiporu,Recursos,guarani,guarani,guarani,guarani,A,B,A,A
anlp,ha'e oikuaase umi cooperativa de ahorro y crédito rehegua.,Ella estaba interesada en las cooperativas de crédito.,jopara,jopara,jopara,jopara,C,C,A,C
anlp,Ha'e he'ichéve cheraĝe haĝua.,Ella me dijo que tenía que darme prisa.,guarani,guarani,guarani,guarani,A,D,A,A
anlp,HA'e nde'íri iñe'ênte avaleha upe so'o mbutukáre.,Ella nunca dijo que tenía razón sobre el pastel de carne.,,jehe'a,guarani,other,,D,A,D
blogs,Hakukuére mbarakaja ojesareko pytumbýpe.,Rápidamente el gato atisba en la oscuridad.,guarani,guarani,guarani,guarani,A,D,A,A
abc,"Imandu’ávo 13.000 puesto opytáva ojeipe'ávo 6.000 umi 19.0000, ha'éva umi puesto oñemba’apo haguã “deuda históricas noîrîva administración ambuévape.","Con respecto a los 13.000 puestos que quedan si restamos 6.000 a 19.0000, señaló que esos puestos “son deudas históricas que no estaban cubiertas en las administraciones anteriores.",jehe'a,jehe'a,jopara,jehe'a,A,B,A,A
anlp,"Ha péicha ousapy'a mamo guivombo, ndajaikuaaái moôguipa, katu, …",y de repente viene de algún lugar que no sé de donde viene pero,guarani,guarani,guarani,guarani,A,C,A,A
libro_gn,"Ojegueroikéta ñeꞌẽpyahu oñemoguaraníva ndochokamoꞌãima guive guarani ñeꞌẽ retepy rehe, heꞌiséva, ikatúma guive ojehai avañeꞌẽ achegety tee heꞌiháicha  .","Se admitirán préstamos incorporados cuya estructura silábica no crea conflictos con la estructura fonológica del guaraní, es decir, siempre que se pueda escribir conforme al alfabeto oficial de la lengua  .",guarani,jehe'a,guarani,guarani,B,A,A,A
blogs,Ava reko porâ niko heñóiva mba’evai tanimbukuégui,El triunfo del verdadero hombre surge de las cenizas del error.,guarani,guarani,guarani,guarani,,D,A,D
spl,GUARANI ÑE'Ẽ REREKUAPAVẼ HA PARAGUÁI ÑE'ẼNGUÉRA SÃMBYHYHA OMBA'APO JOAJÚTA GUARANI RÉRAPE.,LA ACADEMIA DE LA LENGUA GUARANÍ Y LA SECRETARÍA DE POLÍTICAS LINGŨÍSTICAS PROMOVERÁN USO DEL GUARANÍ,guarani,guarani,guarani,guarani,D,C,A,D
spl,"Paraguái Ñe'ẽnguéra Sãmbyhyhára, Ladislaa Alcaraz de Silvero, oñombyatýta avei ko arapoteĩme, iñirũ Argentina pegua mburuvicha ndive, jahechápa toñomongeta hikuái ñe'ẽnguéra rehe ha mba'épa ojejapokuaa joajúpe herapekuéra.","La Ministra de la SPL, Ladislaa Alcaraz de Silvero, se reunirá este viernes con su par argentino, quienes tratarán temas lingũísticos y la posibilidad de una tarea conjunta.",guarani,guarani,guarani,guarani,C,B,A,D
spl,"Vore 13 “Ojehechahápe mba'éichapa opa ovecha rerekua hérava Marcela mombe'upy, ha ambueve mba'e ojehuva'ekue avei” oñembohasáva guaraníme, ha ojehero péicha.","El capítulo 13 “Donde se da fin al cuento de la pastora Marcela, con otros sucesos”, fue el traducido al guaraní con la siguiente denominación.",guarani,guarani,guarani,guarani,A,C,A,A
blogs,Chakemíke péva!.,¡Cuidadito con esto!.,guarani,guarani,guarani,guarani,A,A,A,A
blogs,Águi opytáva,Que quedará,guarani,guarani,guarani,guarani,,D,A,D
abc,Codehupy ojerúre justicia  umi víctima dictadura-pe guarã,Codehupy reclama justicia para víctimas de dictadura,jopara,jehe'a,jopara,jopara,A,A,A,A
anlp,Oiko hikuái Augusta korasôitépe.,Vivían en el corazón de Augusta.,guarani,guarani,guarani,guarani,A,A,A,A
spl,Dirección de Políticas Lingũísticas Judiciales jeguerojera; opa omba'apóva tekojojarã rehe ñembokatupyryve; Acordada oguenohẽva Poder Judicial oñemoañete haĝua Léi Ñe'ẽnguéra rehegua; ha ambueve.,"Por otro lado, hablará de los avances registrados en el ámbito de la justicia, destacando la instalación de una Dirección de Políticas Lingũísticas Judiciales; la formación permanente de agentes involucrados en la administración de la justicia; la Acordada de implementación de la Ley de Lenguas en el Poder Judicial; entre otros.",guarani,jehe'a,guarani,guarani,B,B,B,B
hackaton,tatoeba he'ise tembiecharã japonés-pe,tatoeba significa por ejemplo en japonés.,guarani,guarani,guarani,guarani,A,A,A,A
seminario,"Upéichante avei, tembiguerovia ñe’ẽnguéra rehegua kua guive, guarani rehe ojepoipa mba’e vai oĩvéva, ha ojeheja ichupe hogueguyréramonte, ñe’ẽ ojeporúva tapére, okaháre ha chokokue ñe’ẽramonte .","Así también, las fuerzas sociolingüísticas imperantes en el país han estigmatizado la lengua guaraní y la han relegado a la informalidad, a la calle, al campo, como lengua rural .",guarani,guarani,guarani,guarani,B,A,A,A
abc,Ohenói hikuái umi mbo'ehára Fuerte Olimpo-pe,Evocan a los maestros en Fuerte Olimpo,guarani,guarani,guarani,guarani,A,B,A,A
spl,Ta'anga: Haihára José Silva iñaranduka pyahu reve.,Foto: José Silva con los ejemplares de su nuevo libro.,guarani,guarani,guarani,guarani,A,A,A,A
anlp,Ndaháiva marô Texas-pe.,Nunca he ido a Texas,guarani,guarani,guarani,guarani,D,D,A,D
spl,"Ko aty guasu oiko San Ignacio, Misiones, Tavao kotýpe, omyenyhẽva tapicha.","El evento se realizó en el salón municipal de San Ignacio, Misiones, ante un auditorio lleno.",guarani,guarani,guarani,guarani,A,A,A,A
blogs,"Uperiremi, Guggiari okañyva'ekue Guarini Mbo'ehao (Escuela Militar)-pe, oheja Emiliano González Navero poguýpe tetâ sâmbyhy.","Más tarde, Guggiari refugiado en la Escuela Militar, delegó la presidencia a Emiliano González Navero.",guarani,guarani,guarani,guarani,A,C,A,A
abc,"Ko ojehúva Cháko paraguayo peteî tragedia kakuaa, según científico, ojehecháva ha oñemoha’ãrõva 200 ary fauna y flora ha heñói jey ko tendáres.","Sostuvo además que esto que ha ocurrido en el Chaco paraguayo es una verdadera tragedia, según científicos, teniendo en cuenta que se tarda 200 años en que la fauna y flora se restablezca en esos lugares.",jopara,jehe'a,jopara,jopara,B,B,A,B
blogs,Ani ivaive upe ára iporavéva nde rekove rembiasakuépe.,No sea peor que el día más feliz de tu pasado.,guarani,guarani,guarani,guarani,A,A,A,A
spl,he’i sãmbyhyhára.,dijo la ministra.,guarani,guarani,guarani,guarani,A,A,A,A
anlp,"Upe Base Aérea Laughlin-pe oiko 10,000 ñorairôhára.",La Base de la Fuerza Aérea de Laughlin es hogar de 10 000 soldados.,guarani,guarani,jopara,guarani,A,A,A,A
anlp,Aimékuri Missouri-pe.,Estaba en Missouri.,guarani,guarani,guarani,guarani,A,A,A,A
libro_gn,Eroike fóto pyahu,Agregar fotos nuevas,jehe'a,guarani,jopara,other,A,D,A,A
abc,"Omotenondévo disposición mokõháme 2019, según Cancillería.","La disposición será efectiva en el segundo semestre de este 2019, según fuentes de la Cancillería.",jopara,jopara,jopara,jopara,B,A,B,B
anlp,"kuatiara'êvete henyhê, upéi láta ha upe rire vidrio.","El papel es el primero en llenarse, luego latas y luego vidrio.",jehe'a,jehe'a,jehe'a,jehe'a,A,A,A,A
spl,"Paraguái Ñe'ẽnguéra Sãmbyhyhára, Ladislaa Alcaraz de Silvero omoirũ avei, heta ambue mburuvicháicha, ko aty guasu.","La titular de la Secretaría de Políticas Lingũísticas, Ladislaa Alcaraz de Silvero, igual que otras altas autoridades, acompañó dicha sesión donde se trató varios puntos.",guarani,guarani,guarani,guarani,B,B,B,B
anlp,"Oikova'ekue Evans-pe, michîmíva.","Vivieron en Evans, que es muy pequeño.",guarani,guarani,guarani,guarani,A,B,A,A
libro_gn,Fícha,Ficha,jehe'a,jopara,jopara,jopara,A,A,A,A
libro_gn,"Oñemoñeꞌẽasakuévo ko tembiaporãme ojehaipaitéta ñeꞌẽnguéra, ñeꞌẽ riregua, ñeꞌẽpehẽ, tahaꞌe mboyvegua térã riregua  .","En la traducción de los términos se usarán las formas plenas tanto de los léxicos, las posposiciones, como de las partículas, tanto prefijas como sufijas  .",guarani,guarani,guarani,guarani,A,A,A,A
libro_td,"mboaje, moneĩ",Confirmar,guarani,guarani,guarani,guarani,C,C,A,C
seminario,Guarani Ñe’ẽ Rerekua omba’apova’erã katuete ã mba’e rehe: 1 .,La Academia de la Lengua Guaraní tiene las siguientes funciones: 1 .,guarani,guarani,guarani,guarani,A,C,A,A
anlp,ha heta umíva umi mba'e oik isy ndaikatúi rupi oiko droga'ÿre.,y mucho de eso es debido al hecho de que las madres son drogodependientes,jehe'a,guarani,jehe'a,jehe'a,A,A,A,A
spl,"Ñe'ẽ Guarani Rerekua rembiaporãngatu hína ko ñe'ẽ ñemboheko: ijehaípe, iñe'ẽndýpe, he'isévape, iñe'ẽ ñemohendápe ha iñe'ẽsyrýpe.","La Academia de la Lengua Guaraní tiene competencia para establecer la normativa de la lengua guaraní en sus aspectos ortográfico, lexicológico, terminológico, gramatical y discursivo.",guarani,guarani,guarani,guarani,A,A,A,A
seminario,"PARLASUR ñe’ẽasaharaháicha, ndaikatúi ombojerévo oje’ehagueichaite; ambohasava’erã oje’eséva (guaraní-castellano, castellano-guaraní) pegua, pya’e ha hesakã hag̃uáicha .","Como intérprete, en el PARLASUR trato de no realizar una traducción de palabra por palabra; en su lugar, me esfuerzo en trasponer los mensajes orales de un idioma a otro (guaraní-castellano, castellano-guaraní), en forma instantánea y precisa .",guarani,jehe'a,guarani,guarani,B,A,A,A
spl,"Upe araapy 25 ohasava’ekuépe, Ñe’ẽ Rapereka Moakãhapavẽ, Paraguái Ñe’ẽnguéra Sãmbyhyha (PÑS) pegua, omoirũ tembiaporã aty peteĩha ko arýpe mayma umi omba’apóva Mozilla Firefox (Aguaratata) ombohasa ha omoneĩva guaraníme ndive.","El pasado martes 25 de febrero, técnicos de la Dirección General de Investigación Lingüística de la Secretaría de Políticas Lingüísticas (SPL) participaron de la primera reunión del año del grupo de traductores y validadores del navegador Mozilla Firefox (Aguaratata), traducido enteramente al guaraní.",guarani,guarani,guarani,guarani,A,B,A,A
hackaton,ehenói tahachipe,llamá a la policía.,guarani,guarani,guarani,guarani,A,A,A,A
anlp,Ndacha'éi upe tembiapo ñemyakâ rehegua.,No soporto la idea de ser directivo.,guarani,guarani,guarani,guarani,A,B,A,A
blogs,"Ha'ekuéra ojejukákuri Melitene, Armenia-pe, upérô oîva'ekue Roma poguýpe.","Ellos fueron sacrificados en Melitene, Armenia, que entonces estaba bajo el poder de Roma.",guarani,guarani,guarani,guarani,A,A,A,A
blogs,Ohenduka haĝua hemiandu,Para manifestar su sentimiento,guarani,guarani,guarani,guarani,A,C,C,C
anlp,Ha'e imba'asypo'i ha che ndaikuaáikuri avei upéva.,Y ella tenía tuberculosis y yo nunca me enteré de eso tampoco.,guarani,guarani,guarani,guarani,A,A,B,A
spl,"Ko aty guasúpe, heta mitã ha mitãrusu guaná, ojapóta peteĩ ñoha'aga mbyky iñe'ẽteepekuéra, ohechaukávo mitã pyahukuéra oiporujeymaha ko ñe'ẽ ikangyetemava'ekuékuri ha oñemba'apo rupi hese hekovepáy jey ohóvo.","En la ocasión también se presentará una breve dramatización a cargo de niños y jóvenes de la Comunidad de Río Apa, en la que se podrá apreciar el retorno a la utilización de la lengua guaná por parte de la generación más joven, resultado ya del proceso de revitalización.",guarani,guarani,guarani,guarani,B,B,B,B
spl,"Lumnanas – Manjui aty oĩ familia lingũística Mataco – Mataguayo ryepýpe, ombyatýva avei Maká ha Nivaclé-pe, iñe'ẽnguéra rapo peteĩnteva.","El Pueblo Lumnanas - Manjui pertenece a la familia lingũística Mataco - Mataguayo, que a su vez agrupa al Maká y Nivaclé, unificados por un tronco lingũístico común.",guarani,jehe'a,guarani,guarani,B,A,A,A
spl,"Ikatúma oñemboguejy ko tembipuru pyahu ojeikéramo ko'ápe, térã.","La nueva aplicación puede ser descargada ignresando este link, o bien.",guarani,guarani,guarani,guarani,A,A,A,A
hackaton,oĩ mba'apohápe heta yvyrata Japón-pe,hay varios volcanes activos en japón.,guarani,guarani,guarani,guarani,C,A,A,A
seminario,"Techapyrã, maiteikuéra ojehaíva mbohapyve ñe’ẽme, Buenos días, Bom día, Mba’éichapa pendepyhareve, peneko’ẽ, Buenas Tardes, Boa tarde, Mba’éichapa pendeasaje, pendeka’aru .","Como por ejemplo, los saludos de bienvenida escritas en las tres lenguas de trabajo: Buenos días, Bom día, Mba’éichapa pendepyhareve, peneko’ẽ; Buenas tardes, Boa tarde, Mba’éichapa pendeasaje, pendeka’aru .",guarani,guarani,guarani,guarani,A,A,A,A
anlp,Ndaikuaaái ha'épa oipota umimarandu ñesê rehegua aravo.,No sabía si él quería información sobre los horarios de viaje.,guarani,guarani,guarani,guarani,A,A,A,A
spl,Ko mesa jere Las Lenguas Amerindias de América Latina oikohína “VI Jornada de Lingũística Hispánica.,La Mesa Redonda sobre Las Lenguas Amerindias de América Latina se enmarca dentro de la “VI Jornada de Lingũística Hispánica.,jehe'a,jopara,jopara,jopara,A,A,A,A
hackaton,Ha'ékuri epyta,dije alto.,guarani,guarani,guarani,guarani,A,A,A,A
